Name:     Description:
neodrift  "Neo Drift Out - New Technology"
kof96     "King of Fighters '96, The"
ssideki4  "Ultimate 11 / Tokuten Ou - Honoo no Libero, The"
kizuna    "Kizuna Encounter - Super Tag Battle / Fu'un Super Tag Battle"
ninjamas  "Ninja Master's - haoh-ninpo-cho"
ragnagrd  "Operation Ragnagard / Shin-Oh-Ken"
pgoal     "Pleasure Goal / Futsal - 5 on 5 Mini Soccer"
magdrop2  "Magical Drop II"
samsho4   "Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin"
rbffspec  "Real Bout Fatal Fury Special / Real Bout Garou Densetsu Special"
twinspri  "Twinkle Star Sprites"
wakuwak7  "Waku Waku 7"
stakwin2  "Stakes Winner 2"
breakers  "Breakers"
miexchng  "Money Puzzle Exchanger / Money Idol Exchanger"
kof97     "King of Fighters '97, The"
magdrop3  "Magical Drop III"
lastblad  "Last Blade / Bakumatsu Roman - Gekkano Kenshi, The"
puzzldpr  "Puzzle De Pon R"
irrmaze   "Irritating Maze / Ultra Denryu Iraira Bou, The"
popbounc  "Pop 'n Bounce / Gapporin"
shocktro  "Shock Troopers"
shocktrj  "Shock Troopers (Japan)"
blazstar  "Blazing Star"
rbff2     "Real Bout Fatal Fury 2 - The Newcomers / Real Bout Garou Densetsu 2 - the newcomers"
mslug2    "Metal Slug 2 - Super Vehicle-001/II"
kof98     "King of Fighters '98 - The Slugfest / King of Fighters '98 - dream match never ends, The"
lastbld2  "Last Blade 2 / Bakumatsu Roman - Dai Ni Maku Gekkano Kenshi, The"
neocup98  "Neo-Geo Cup '98 - The Road to the Victory"
breakrev  "Breakers Revenge"
shocktr2  "Shock Troopers - 2nd Squad"
flipshot  "Battle Flip Shot"
pbobbl2n  "Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo)"
ctomaday  "Captain Tomaday"
mslugx    "Metal Slug X - Super Vehicle-001"
kof99     "King of Fighters '99 - Millennium Battle, The"
kof99p    "King of Fighters '99 - Millennium Battle, The (prototype)"
garoup    "Garou - Mark of the Wolves (prototype)"
